Dept,Line,OT Net,Tube Router,CAM1 OT,CAM2 OT,PLC OT,HMI OT,CAM Net,CAM1 Loc,CAM2 Loc,PLC Net,PLC Loc,HMI Loc,Switch_Type
PC,2,26.147.85.,102,41,42,82,61,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,4,26.147.85.,104,43,44,84,62,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,6,26.147.85.,106,45,46,86,63,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,8,26.147.85.,108,47,48,88,64,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,10,26.147.85.,110,49,50,90,65,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,12,26.147.85.,112,51,52,92,66,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,14,26.147.85.,114,53,54,94,67,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,16,26.147.85.,116,55,56,96,68,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,18,26.147.85.,118,57,58,98,69,192.168.0.,63,64,192.168.0.,65,62,Moxa
PC,20,26.147.85.,100,59,40,80,60,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,141,26.147.87.,101,40,41,81,61,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,143,26.147.87.,103,42,43,83,62,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,145,26.147.87.,105,44,45,85,63,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,147,26.147.87.,107,46,47,87,64,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,149,26.147.87.,109,48,49,89,65,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,151,26.147.87.,111,50,51,91,66,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,153,26.147.87.,113,52,53,93,67,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,155,26.147.87.,115,54,55,95,68,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,157,26.147.87.,117,56,57,97,69,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,159,26.147.87.,119,58,59,99,70,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC4,161,26.147.88.,101,40,41,81,61,192.168.0.,63,64,192.168.0.,65,62,Moxa
TC1,19,26.147.94.,101,41,42,81,61,192.168.0.,63,64,192.168.0.,61,62,Cisco
TC1,21,26.147.94.,103,43,44,83,62,192.168.0.,63,64,192.168.0.,61,62,Cisco
TC2,24,26.147.94.,106,45,46,86,63,192.168.0.,63,64,192.168.0.,61,62,Cisco
TC2,25,26.147.94.,107,47,48,87,64,192.168.0.,63,64,192.168.0.,61,62,Cisco
TC2,28,26.147.94.,110,49,50,90,65,192.168.0.,63,64,192.168.0.,61,62,Cisco
TC2,30,26.147.94.,112,51,52,92,66,192.168.0.,63,64,192.168.0.,61,62,Cisco
FCP,41,26.147.96.,101,40,41,81,61,192.168.0.,63,64,192.168.0.,61,62,Cisco
FCP,43,26.147.96.,103,42,43,83,62,192.168.0.,63,64,192.168.1.,61,62,Cisco
FCP,45,26.147.96.,105,44,45,85,63,192.168.0.,63,64,192.168.1.,61,62,Cisco
FCP,47,26.147.96.,107,46,47,87,64,192.168.0.,63,64,192.168.1.,61,62,Cisco
FCP,49,26.147.96.,109,48,49,89,65,192.168.0.,63,64,192.168.0.,61,62,Cisco
TC3,51,26.147.96.,111,50,51,91,66,192.168.0.,63,64,192.168.1.,61,62,Cisco
TC3,53,26.147.96.,113,52,53,93,67,192.168.0.,63,64,192.168.1.,61,62,Cisco
FCP2,101,26.147.98.,102,41,42,82,61,192.168.0.,63,64,192.168.0.,61,62,Moxa
FCP2,103,26.147.98.,104,43,44,84,62,192.168.0.,63,64,192.168.0.,61,62,Moxa
FCP2,105,26.147.98.,106,45,46,86,63,192.168.0.,63,64,192.168.0.,61,62,Moxa
FCP2,107,26.147.98.,108,47,48,88,64,192.168.0.,63,64,192.168.0.,61,62,Moxa
FCP2,109,26.147.98.,110,49,50,90,65,192.168.0.,63,64,192.168.0.,61,62,Moxa
FCP2,111,26.147.98.,112,51,52,92,66,192.168.0.,63,64,192.168.0.,61,62,Moxa
FCC,31,26.147.100.,101,41,42,82,61,192.168.0.,63,64,192.168.0.,61,62,Cisco
FCC,33,26.147.100.,103,43,44,83,62,192.168.0.,63,64,192.168.0.,61,62,Moxa
FCC,36,26.147.100.,106,45,46,86,63,192.168.0.,63,64,192.168.0.,61,62,Cisco
FCC,37,26.147.100.,107,107,47,87,64,192.168.0.,63,64,192.168.0.,61,62,Cisco
OFS,121,26.147.104.,101,40,41,81,61,192.168.0.,63,64,192.168.0.,65,62,Moxa
OFS,123,26.147.104.,103,42,43,83,62,192.168.0.,63,64,192.168.0.,65,62,Moxa
OFS,125,26.147.104.,105,44,45,85,63,192.168.0.,63,64,192.168.0.,65,62,Moxa
OFS,127,26.147.104.,107,46,47,87,64,192.168.0.,63,64,192.168.0.,65,62,Moxa
OFS,129,26.147.104.,109,48,49,89,65,192.168.0.,63,64,192.168.0.,65,62,Moxa
OFS,131,26.147.104.,111,50,51,91,66,192.168.0.,63,64,192.168.0.,65,62,Moxa
OFS,133,26.147.104.,113,52,53,93,67,192.168.0.,63,64,192.168.0.,65,62,Moxa
OFS,135,26.147.104.,115,54,55,95,68,192.168.0.,63,64,192.168.0.,65,62,Moxa
BCP,60,26.147.106.,101,41,42,81,61,192.168.0.,63,64,192.168.0.,61,62,Cisco
BCP,62,26.147.106.,103,43,44,83,62,192.168.0.,63,64,192.168.0.,61,62,Cisco
BCP,64,26.147.106.,105,45,46,85,63,192.168.0.,63,64,192.168.0.,61,62,Cisco
BCP,66,26.147.106.,107,47,48,87,64,192.168.0.,63,64,192.168.0.,61,62,Cisco
BCP,68,26.147.106.,109,49,50,89,69,192.168.0.,63,64,192.168.0.,61,62,Moxa
